Date,SalesRep,Product,Units,Price,Total Sales,City,State,Region,Day
1/1/2013,Isabel  Cross,Nestle Aero Mint Potz,4,495,1980,Ranchi, Jharkhand,East,Tuesday
1/2/2013,Cecilia  Manning,Nestle Smarties Pop-Up,2,438,876,Trivandrum, Kerala,South,Wednesday
1/2/2013,Isabel  Cross,Nestle Maxibon Cookie,1,426,426,Ranchi, Jharkhand,East,Wednesday
1/2/2013,Shari  Silva,Nestle Maxibon Cookie,2,260,520,Mysore, Karnataka,South,Wednesday
1/2/2013,Trevor  Jones,Nestle Toffee Crumble,4,285,1140,Pune, Maharashtra,West,Wednesday
1/3/2013,Trevor  Jones,Nestle Toffee Crumble,2,206,412,Pune, Maharashtra,West,Thursday
1/3/2013,Trevor  Jones,Nestle Fab,3,222,666,Pune, Maharashtra,West,Thursday
1/4/2013,Max  Rodgers,Nestle Milky Bar Stick,15,458,6870,Nagpur, Maharashtra,West,Friday
1/4/2013,Ruben  Nunez,Nestle Rowntree Fruit Pastil,2,304,608,Shimla, Himachal Pradesh,North,Friday
1/4/2013,Salvador  Bass,Nestle Rowntree Fruit Pastil,2,224,448,Goa, Goa,West,Friday
1/4/2013,Rachel  Gomez,Nestle Kit Kat Cone,2,318,636,Delhi, Delhi,North,Friday
1/4/2013,Christina  Fuller,Nestle Fab,2,165,330,Nagpur, Maharashtra,West,Friday
1/4/2013,Andrew  Meyer,Nestle Aero Mint Potz,6,167,1002,Mumbai, Maharashtra,West,Friday
1/5/2013,Don  Gonzales,Nestle Toffee Crumble,4,431,1724,Mysore, Karnataka,South,Saturday
1/5/2013,Ruben  Nunez,Nestle Fab,3,342,1026,Srinagar, Jammu and Kashmir,North,Saturday
1/5/2013,Shari  Silva,Nestle Rowntree Fruit Pastil,2,180,360,Mysore, Karnataka,South,Saturday
1/5/2013,Herman  Williams,Nestle Fab,1,435,435,Darjeeling, West Bengal,East,Saturday
1/5/2013,Ruben  Nunez,Nestle Smarties Pop-Up,19,193,3667,Ahmedabad, Gujarat,West,Saturday
1/5/2013,Beth  Tucker,Nestle Rowntree Fruit Pastil,3,437,1311,Pune, Maharashtra,West,Saturday
1/5/2013,Marian  Hill,Nestle Toffee Crumble,2,298,596,Trivandrum, Kerala,South,Saturday
1/5/2013,Carla  Mccormick,Nestle Smarties Pop-Up,1,247,247,Varanasi, Uttar Pradesh,North,Saturday
1/5/2013,Brooke  Horton,Nestle Smarties Pop-Up,2,271,542,Nainital, Uttarakhand,North,Saturday
1/5/2013,Bethany  Pena,Nestle Rolo Potz,3,297,891,Nagpur, Maharashtra,West,Saturday
1/6/2013,Rachel  Gomez,Nestle Rolo Potz,2,253,506,Delhi, Delhi,North,Sunday
1/6/2013,Sylvester  Morales,Nestle Smarties Pop-Up,1,298,298,Mumbai, Maharashtra,West,Sunday
1/7/2013,Kyle  Carr,Nestle Rowntree Fruit Pastil,2,292,584,Delhi, Delhi,North,Monday
1/7/2013,Salvador  Bass,Nestle Kit Kat Cone,1,491,491,Goa, Goa,West,Monday
1/7/2013,Trevor  Jones,Nestle Rowntree Fruit Pastil,2,401,802,Pune, Maharashtra,West,Monday
1/7/2013,Brooke  Horton,Nestle Rolo Potz,2,255,510,Nainital, Uttarakhand,North,Monday
1/7/2013,Marian  Hill,Nestle Milky Bar Stick,1,231,231,Trivandrum, Kerala,South,Monday
1/7/2013,Tracy  Reed,Nestle Maxibon Cookie,3,356,1068,Agra, Uttar Pradesh,North,Monday
1/7/2013,Trevor  Jones,Nestle Toffee Crumble,1,228,228,Pune, Maharashtra,West,Monday
1/8/2013,Arturo  Francis,Nestle Smarties Pop-Up,3,383,1149,Ranchi, Jharkhand,East,Tuesday
1/8/2013,Bobbie  Ryan,Nestle Smarties Pop-Up,2,433,866,Darjeeling, West Bengal,East,Tuesday
